TimeStep,Reward
1475,0.2864228434680166
1280,0.28275711812045456
907,0.26672556646937895
1263,0.2766683600612763
639,0.2733762641877444
1933,0.28831044070764755
334,0.26618461534171944
1234,0.26835470390462873
509,0.2696900705972869
721,0.2751413818724308
326,0.2692411005931626
734,0.27547887890041417
544,0.26996819509076886
293,0.26813393181920586
1168,0.28061450712529273
350,0.269499595715843
1271,0.26683425122646587
1364,0.27339608850359465
1002,0.2700792105086508
945,0.26768834618980153
1813,0.27958408415243535
309,0.2659014885999823
1664,0.2893700994436162
699,0.2662050665741317
1352,0.2691435238884987
114,0.2632906600745047
933,0.2703620142358468
1782,0.2842481638987612
521,0.2714357924759031
1438,0.28525999761850007
1983,0.28568993509619245
1662,0.27611704237252027
1224,0.28290072355172524
268,0.2680309238483826
29,0.28137866149863905
571,0.27265538276471024
1609,0.27533306792486223
1537,0.2819522662030682
1471,0.27236597492073744
1415,0.2684023091905131
574,0.2660929424137955
1874,0.26783641232758837
1434,0.2677960623742668
139,0.265585442996105
25,0.2748789810152283
1790,0.2895863084263386
564,0.2729297270917078
1331,0.28426931935911093
486,0.26587469045315615
1648,0.2672762222751527
991,0.2786855275593786
1144,0.27270060569566484
665,0.27436032978070507
1787,0.27029627182311444
172,0.26529865081651605
1805,0.26751829087042356
1006,0.2703367867557614
1269,0.2789945285317948
1795,0.2887150658308819
1559,0.2724695783260135
54,0.2606691359606348
1145,0.2672023212496116
98,0.26259318124017283
1753,0.2822829669509531
1984,0.3076581420551062
1081,0.36643870039742243
1048,0.3099083875376629
1990,0.30682170342723175
1851,0.31897791359421257
2,0.3594355098986448
783,0.3146252694635187
1048,0.3099083875376629
1071,0.3535041003774659
794,0.37448186940250683
1646,0.34452772976603013
1870,0.3150241693233061
1679,0.3967352746925805
1737,0.35430556743216846
1989,0.32632829908297956
621,0.31101889417784934
158,0.25685197271653
1019,0.3941744930155743
731,0.37284273097216547
1551,0.31711392659238347
1606,0.31774208115366787
681,0.3589264828859327
1734,0.34608914052675477
1147,0.32823059136207844
1164,0.3959014116780735
1545,0.32582303112069566
628,0.32925859803656665
1997,0.3144765932778356
604,0.3600814344589033
1238,0.3628822507281604
1446,0.3882880086583476
1801,0.3124939774759258
376,0.2866755409404782
1226,0.38558482115775966
202,0.2515074915367932
1947,0.3217289512395986
1835,0.3672231189845393
255,0.2281743187184026
1650,0.31726433394993464
1102,0.37206127601220373
1583,0.3373407580863194
1432,0.32932346014693215
898,0.3320104108734776
501,0.3033301428942877
762,0.3863942026088561
1746,0.32372332525301817
554,0.3579008687660836
279,0.2733893412376108
135,0.25417999656996354
1364,0.3772708700325712
402,0.3200271565966944
225,0.23793880102892484
479,0.3498960046862296
1135,0.31214505463781383
929,0.31807126170723526
1843,0.3874141722315467
881,0.3966160529059761
1770,0.3071584019591377
1760,0.3832109455991875
1630,0.36273948558897606
529,0.35579526867951683
1962,0.39551765680757645
1916,0.33697615051106644
863,0.38152432311654166
1701,0.29283548831904394
1458,0.29283548831904394
655,0.29283548831907347
198,0.32466411480383106
501,0.29283548831907347
150,0.30915467517451234
331,0.2901605930622901
1269,0.29283548831904405
551,0.29283548831907347
1411,0.29283548831904394
666,0.29283548831907347
1750,0.29283548831904394
971,0.29283548831907347
660,0.29283548831907347
1982,0.29283548831904394
349,0.29121463494831146
13,0.3589054699535873
1322,0.29283548831904394
1306,0.29283548831904394
1272,0.29283548831904405
967,0.29283548831907347
698,0.29283548831907347
1030,0.29283548831904394
641,0.29283548831907347
618,0.29283548831907347
46,0.33589731562370234
1279,0.29283548831904394
321,0.3001189289559107
1432,0.29283548831904394
