TimeStep,Desired_x,Desired_y,Desired_z,state_x,state_y,state_z,vel_x,vel_y,vel_z,ang_x,ang_y,ang_z,p,q,r
36,-0.0,0.0,3.7,0.0,0.0,0.6547952830188464,0.0,0.0,0.3539433962263974,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,3.8000000000000003,0.0,0.0,0.6906679245282767,0.0,0.0,0.3635094339622459,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,3.9000000000000004,0.0,0.0,0.7274971698112903,0.0,0.0,0.37307547169809435,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,-0.0,4.0,0.0,0.0,0.7652830188678899,0.0,0.0,0.3826415094339428,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.0,-0.0,4.1000000000000005,0.0,0.0,0.8040254716980808,0.0,0.0,0.3922075471697913,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.0,-0.0,4.2,0.0,0.0,0.843724528301855,0.0,0.0,0.40177358490563975,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.0,0.0,4.3,0.0,0.0,0.8843801886792123,0.0,0.0,0.4113396226414882,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,4.4,0.0,0.0,0.9259924528301529,0.0,0.0,0.4209056603773367,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,4.5,0.0,0.0,0.9685613207546766,0.0,0.0,0.43047169811318514,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,-0.0,4.6000000000000005,0.0,0.0,1.012086792452785,0.0,0.0,0.4400377358490336,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,-0.0,4.7,0.0,0.0,1.0565688679244807,0.0,0.0,0.44960377358488207,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.0,-0.0,4.800000000000001,0.0,0.0,1.1020075471697595,0.0,0.0,0.45916981132073054,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.0,0.0,4.9,0.0,0.0,1.1484028301886215,0.0,0.0,0.468735849056579,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.0,0.0,5.0,0.0,0.0,1.1957547169810696,0.0,0.0,0.47830188679242747,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,5.1000000000000005,0.0,0.0,1.244063207547109,0.0,0.0,0.48786792452827593,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,-0.0,5.2,0.0,0.0,1.2933283018867316,0.0,0.0,0.4974339622641244,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,-0.0,5.300000000000001,0.0,0.0,1.3435499999999374,0.0,0.0,0.5069999999999769,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.0,-0.0,5.4,0.0,0.0,1.3947283018867265,0.0,0.0,0.5165660377358309,0.0,0.0,0.0,0.0,0.0,0.0
54,-0.0,0.0,5.5,0.0,0.0,1.4468632075470986,0.0,0.0,0.5261320754716848,0.0,0.0,0.0,0.0,0.0,0.0
55,-0.0,0.0,5.6000000000000005,0.0,0.0,1.499954716981061,0.0,0.0,0.5356981132075388,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,5.7,0.0,0.0,1.5540028301886106,0.0,0.0,0.5452641509433928,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,5.800000000000001,0.0,0.0,1.6090075471697434,0.0,0.0,0.5548301886792467,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,-0.0,5.9,0.0,0.0,1.6649688679244594,0.0,0.0,0.5643962264151007,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.0,-0.0,6.0,0.0,0.0,1.7218867924527586,0.0,0.0,0.5739622641509546,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.0,-0.0,6.1000000000000005,0.0,0.0,1.7797613207546479,0.0,0.0,0.5835283018868086,0.0,0.0,0.0,0.0,0.0,0.0
61,-0.0,0.0,6.2,0.0,0.0,1.8385924528301245,0.0,0.0,0.5930943396226626,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,6.300000000000001,0.0,0.0,1.8983801886791842,0.0,0.0,0.6026603773585165,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,6.4,0.0,0.0,1.9591245283018273,0.0,0.0,0.6122264150943705,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,-0.0,6.5,0.0,0.0,2.0208254716980534,0.0,0.0,0.6217924528302244,0.0,0.0,0.0,0.0,0.0,0.0
65,-0.0,-0.0,6.6000000000000005,0.0,0.0,2.0834830188678697,0.0,0.0,0.6313584905660784,0.0,0.0,0.0,0.0,0.0,0.0
66,-0.0,-0.0,6.7,0.0,0.0,2.147097169811273,0.0,0.0,0.6409245283019324,0.0,0.0,0.0,0.0,0.0,0.0
67,-0.0,0.0,6.800000000000001,0.0,0.0,2.21166792452826,0.0,0.0,0.6504905660377863,0.0,0.0,0.0,0.0,0.0,0.0
68,-0.0,0.0,6.9,0.0,0.0,2.27719528301883,0.0,0.0,0.6600566037736403,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,7.0,0.0,0.0,2.343679245282983,0.0,0.0,0.6696226415094942,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,-0.0,7.1000000000000005,0.0,0.0,2.4111198113207264,0.0,0.0,0.6791886792453482,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,-0.0,7.2,0.0,0.0,2.4795169811320568,0.0,0.0,0.6887547169812022,0.0,0.0,0.0,0.0,0.0,0.0
72,-0.0,-0.0,7.300000000000001,0.0,0.0,2.5488707547169707,0.0,0.0,0.6983207547170561,0.0,0.0,0.0,0.0,0.0,0.0
73,-0.0,0.0,7.4,0.0,0.0,2.6191811320754677,0.0,0.0,0.7078867924529101,0.0,0.0,0.0,0.0,0.0,0.0
74,-0.0,0.0,7.5,0.0,0.0,2.6904481132075477,0.0,0.0,0.717452830188764,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,7.6000000000000005,0.0,0.0,2.762671698113218,0.0,0.0,0.727018867924618,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,-0.0,7.7,0.0,0.0,2.8358518867924754,0.0,0.0,0.736584905660472,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,-0.0,7.800000000000001,0.0,0.0,2.9099886792453162,0.0,0.0,0.7461509433963259,0.0,0.0,0.0,0.0,0.0,0.0
78,-0.0,-0.0,7.9,0.0,0.0,2.98508207547174,0.0,0.0,0.7557169811321799,0.0,0.0,0.0,0.0,0.0,0.0
79,-0.0,-0.0,8.0,0.0,0.0,3.0611320754717473,0.0,0.0,0.7652830188680338,0.0,0.0,0.0,0.0,0.0,0.0
80,-0.0,0.0,8.1,0.0,0.0,3.1381386792453445,0.0,0.0,0.7748490566038878,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,8.200000000000001,0.0,0.0,3.216101886792529,0.0,0.0,0.7844150943397418,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,8.3,0.0,0.0,3.2950216981132967,0.0,0.0,0.7939811320755957,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.1,0.0,0.0,0.00047830188679244925,0.0,0.0,0.009566037735848984,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-0.0,0.2,0.0,0.0,0.0019132075471697974,0.0,0.0,0.019132075471698026,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-0.0,0.30000000000000004,0.0,0.0,0.004304716981132058,0.0,0.0,0.028698113207547178,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0,-0.0,0.4,0.0,0.0,0.007652830188679232,0.0,0.0,0.03826415094339633,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.0,0.0,0.5,0.0,0.0,0.011957547169811324,0.0,0.0,0.04783018867924548,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.0,0.0,0.6000000000000001,0.0,0.0,0.017218867924528338,0.0,0.0,0.057396226415094634,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.7000000000000001,0.0,0.0,0.023436792452830254,0.0,0.0,0.06696226415094346,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,-0.0,0.8,0.0,0.0,0.030611320754717022,0.0,0.0,0.07652830188679192,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,-0.0,0.9,0.0,0.0,0.03874245283018864,0.0,0.0,0.08609433962264039,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.0,-0.0,1.0,0.0,0.0,0.047830188679245086,0.0,0.0,0.09566037735848885,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.0,0.0,1.1,0.0,0.0,0.05787452830188641,0.0,0.0,0.10522641509433732,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.0,0.0,1.2000000000000002,0.0,0.0,0.06887547169811252,0.0,0.0,0.11479245283018578,0.0,0.0,0.0,0.0,0.0,0.0
