time,x,y,z,dx,dy,dz,phi,theta,psi,p,q,r,lift_force,tau_phi,tau_theta,tau_psi
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10050251256281408,0.0,0.0,9.950455796570793,0.0,0.0,-0.9859296482412061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20100502512562815,0.00016186181748052282,0.0,9.902789081970065,0.0064419513254856476,0.0,0.037346536067085045,0.0,0.009618912707120675,0.0,0.0,0.19141636287170027,0.0,0.0,0.0,0.0,0.0
0.30150753768844224,0.0016750202058795417,0.0,9.914078168397783,0.02632964972555829,0.0,0.18726198382227655,0.0,0.023674771308323628,0.0,0.0,0.08829522329223814,0.0,0.0,0.0,0.0,0.0
0.4020100502512563,0.005684101566560067,0.0,9.93422760939664,0.055108642211295675,0.0,0.2136644253220659,0.0,0.03351128179119467,0.0,0.0,0.10745133531690032,0.0,0.0,0.0,0.0,0.0
0.5025125628140704,0.013045558224657,0.0,9.955598374239354,0.09292321861509127,0.0,0.2115548298570196,0.0,0.04291699728022946,0.0,0.0,0.07972240291489177,0.0,0.0,0.0,0.0,0.0
0.6030150753768845,0.024602563827771283,0.0,9.976046436599125,0.13829735183404232,0.0,0.19530358279950005,0.0,0.050591080550410616,0.0,0.0,0.07299185416171214,0.0,0.0,0.0,0.0,0.0
0.7035175879396985,0.041054112821588634,0.0,9.99438103726769,0.19014825647204867,0.0,0.1694975238760696,0.0,0.057242882125810635,0.0,0.0,0.05937899718874565,0.0,0.0,0.0,0.0,0.0
0.8040201005025126,0.06299857128336303,0.0,10.009811720771319,0.2474140941167376,0.0,0.13752068659601702,0.0,0.06272954436298228,0.0,0.0,0.04980558133096745,0.0,0.0,0.0,0.0,0.0
0.9045226130653267,0.09093523820185222,0.0,10.021871921080518,0.30923282982233286,0.0,0.10243098740914047,0.0,0.06722089341328807,0.0,0.0,0.03957226477011752,0.0,0.0,0.0,0.0,0.0
1.0050251256281408,0.1252816381554224,0.0,10.030384985141797,0.37481316490160427,0.0,0.06694053263680899,0.0,0.07073468526516402,0.0,0.0,0.03035219308221875,0.0,0.0,0.0,0.0,0.0
1.105527638190955,0.1663784928415462,0.0,10.035424767024983,0.44342291243046356,0.0,0.03332140706005649,0.0,0.07332968443154897,0.0,0.0,0.021288290328840047,0.0,0.0,0.0,0.0,0.0
1.206030150753769,0.2144938027629473,0.0,10.037268318397876,0.5143407198390234,0.0,0.0033451101128464146,0.0,0.07503187875908024,0.0,0.0,0.012585376789029263,0.0,0.0,0.0,0.0,0.0
1.306532663316583,0.2698226511139131,0.0,10.036344496474342,0.586836104163744,0.0,-0.02173928726084366,0.0,0.07586792329646164,0.0,0.0,0.004051909504867161,0.0,0.0,0.0,0.0,0.0
1.407035175879397,0.3324854544043402,0.0,10.033182131540785,0.6601515713746156,0.0,-0.04119161314914955,0.0,0.07585471050106962,0.0,0.0,-0.004314844133175271,0.0,0.0,0.0,0.0,0.0
1.5075376884422111,0.402524862539826,0.0,10.02836096908418,0.7334963244495277,0.0,-0.054739128316513064,0.0,0.07500628209081306,0.0,0.0,-0.012568881230924948,0.0,0.0,0.0,0.0,0.0
1.6080402010050252,0.479902388350141,0.0,10.022467818143337,0.8060459689695939,0.0,-0.06251431050013809,0.0,0.07333341512291236,0.0,0.0,-0.020721171430302845,0.0,0.0,0.0,0.0,0.0
1.7085427135678393,0.5644952971977517,0.0,10.016059625986086,0.876948366794386,0.0,-0.06497926925677285,0.0,0.07084591297624776,0.0,0.0,-0.028780121288321574,0.0,0.0,0.0,0.0,0.0
1.8090452261306533,0.65609428855677,0.0,10.009634481732089,0.9453332821486933,0.0,-0.06284352296857108,0.0,0.06755358060503802,0.0,0.0,-0.0367372928987539,0.0,0.0,0.0,0.0,0.0
1.9095477386934674,0.754402270910478,0.0,10.003610916763908,1.0103244958577609,0.0,-0.05698110923568981,0.0,0.06346752931188027,0.0,0.0,-0.044575127835081295,0.0,0.0,0.0,0.0,0.0
2.0100502512562817,0.8590344042363918,0.0,9.998315319785435,1.0710528161007362,0.0,-0.04835197591102304,0.0,0.05860115495118334,0.0,0.0,-0.05226572194278869,0.0,0.0,0.0,0.0,0.0
2.1105527638190957,0.969519438850225,0.0,9.993976842995496,1.1266688139964576,0.0,-0.03793150204874739,0.0,0.052971058062468934,0.0,0.0,-0.059773206142627974,0.0,0.0,0.0,0.0,0.0
2.21105527638191,1.0853022759443334,0.0,9.990728845762249,1.176354338423919,0.0,-0.026650865130350684,0.0,0.04659779822367982,0.0,0.0,-0.06705466464927848,0.0,0.0,0.0,0.0,0.0
2.311557788944724,1.205747596164569,0.0,9.988615703936484,1.2193322102502238,0.0,-0.015349884188351412,0.0,0.03950652732358195,0.0,0.0,-0.07406162626266566,0.0,0.0,0.0,0.0,0.0
2.412060301507538,1.3301443580947234,0.0,9.987603699168098,1.2548738017512555,0.0,-0.004742973385550466,0.0,0.03172748686429294,0.0,0.0,-0.080741278877186,0.0,0.0,0.0,0.0,0.0
2.512562814070352,1.4577109534387174,0.0,9.987594682240143,1.2823044996830821,0.0,0.004602022943048661,0.0,0.02329638144408186,0.0,0.0,-0.08703771898501685,0.0,0.0,0.0,0.0,0.0
2.613065326633166,1.5876008175412542,0.0,9.988441263038288,1.3010072870395641,0.0,0.012273051110832829,0.0,0.01425463276808614,0.0,0.0,-0.09289307966729857,0.0,0.0,0.0,0.0,0.0
